DivaNr,Color,Red,Green,Blue,PoltroniCode,ImgName,RotAngle
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-20.jpg,200
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-15.jpg,150
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-14.jpg,140
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-18.jpg,180
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-12.jpg,120
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-23.jpg,230
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-30.jpg,300
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-35.jpg,350
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-36.jpg,360
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-16.jpg,160
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-22.jpg,220
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-10.jpg,100
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-9.jpg,90
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-17.jpg,170
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-21.jpg,210
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-19.jpg,190
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-6.jpg,60
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-29.jpg,290
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-11.jpg,110
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-4.jpg,40
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-25.jpg,250
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-31.jpg,310
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-33.jpg,330
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-1.jpg,10
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-34.jpg,340
DIVA-527320-1-1504705355152,3B4950,0.23046875,0.28515625,0.3125,DIVA-527320-1,DIVA-527320-1Start-1-8.jpg,80
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-18.jpg,180
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-30.jpg,300
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-13.jpg,130
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-21.jpg,210
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-35.jpg,350
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-27.jpg,270
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-31.jpg,310
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-5.jpg,50
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-12.jpg,120
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-32.jpg,320
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-3.jpg,30
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-6.jpg,60
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-7.jpg,70
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-28.jpg,280
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-10.jpg,100
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-34.jpg,340
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-25.jpg,250
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-4.jpg,40
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-14.jpg,140
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-8.jpg,80
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-33.jpg,330
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-26.jpg,260
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-9.jpg,90
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-15.jpg,150
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-16.jpg,160
DIVA-996639-2,793A36,0.47265625,0.2265625,0.2109375,DIVA-996639-2,DIVA-996639-2Start-1-22.jpg,220
